0.1,99.5,0.05918
0.2,99.1,0.2427
0.5,99.3,0.988
1,99.6,1.49
2,99.6,1.2
5,99.1,0.581
10,99.3,0.302
50,99.3,0.0638
100,99.3,0.0322
